City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,285.83,90,100,3.32,NZ,1712000662
1,lerwick,60.1545,-1.1494,280.15,77,100,11.89,GB,1712000492
2,port-aux-francais,-49.35,70.2167,279.71,85,79,7.35,TF,1712000692
3,hermanus,-34.4187,19.2345,291.37,82,84,6.53,ZA,1712000692
4,yellowknife,62.456,-114.3525,268.94,79,75,8.23,CA,1712000692
5,visakhapatnam,17.69,83.2093,300.35,75,0,4.13,IN,1712000693
6,papao,-17.75,-149.55,302.97,77,72,9.83,PF,1712000530
7,stanley,54.868,-1.6985,279.92,94,75,2.57,GB,1712000693
8,puerto ayora,-0.7393,-90.3518,302.13,88,5,4.47,EC,1712000693
9,tura,25.5198,90.2201,294.5,48,5,2.41,IN,1712000413
10,adamstown,-25.066,-130.1015,295.16,88,100,15.16,PN,1712000694
11,anadyr,64.75,177.4833,249.43,57,0,1.0,RU,1712000470
12,tommot,58.9564,126.2925,254.23,99,99,0.67,RU,1712000694
13,arno,60.1167,18.6333,272.47,89,100,7.37,SE,1712000694
14,quepos,9.4236,-84.1652,304.22,53,9,3.03,CR,1712000694
15,pacocha,-17.5833,-71.3333,297.23,65,0,3.09,PE,1712000695
16,kununurra,-15.7667,128.7333,298.14,100,40,1.03,AU,1712000695
17,margaret river,-33.95,115.0667,284.06,85,1,5.35,AU,1712000695
18,sinazongwe,-17.2614,27.4618,299.06,47,81,0.59,ZM,1712000695
19,kish,26.5578,54.0194,296.3,73,87,7.2,IR,1712000695
20,jasper,37.2001,-94.3502,297.65,64,40,8.23,US,1712000696
21,bredasdorp,-34.5322,20.0403,290.53,73,38,7.7,ZA,1712000696
22,utrik,11.2278,169.8474,300.34,66,100,8.17,MH,1712000530
23,darnah,32.767,22.6367,293.65,49,0,3.3,LY,1712000696
24,westport,41.1415,-73.3579,286.31,59,100,4.12,US,1712000696
25,grytviken,-54.2811,-36.5092,274.95,79,34,5.1,GS,1712000697
26,la ronge,55.1001,-105.2842,280.29,36,40,6.17,CA,1712000547
27,west island,-12.1568,96.8225,300.14,94,75,6.17,CC,1712000697
28,papatowai,-46.5619,169.4708,283.19,84,37,2.33,NZ,1712000697
29,ushuaia,-54.8,-68.3,284.96,47,40,7.2,AR,1712000697
30,aasiaat,68.7098,-52.8699,271.59,80,85,1.46,GL,1712000698
31,saipan,15.1355,145.701,300.54,1,40,8.75,MP,1712000698
32,st. john's,47.5649,-52.7093,276.3,85,100,3.6,CA,1712000698
33,gizo,-8.103,156.8419,299.42,82,100,3.17,SB,1712000699
34,vorgashor,67.5833,63.95,252.85,100,99,2.68,RU,1712000401
35,xankandi,39.8177,46.7528,283.75,85,36,1.0,AZ,1712000699
36,ishim,56.1128,69.4902,274.84,100,100,4.47,RU,1712000699
37,constantia,44.1833,28.65,288.53,65,55,4.88,RO,1712000645
38,tiksi,71.6872,128.8694,262.18,93,100,2.3,RU,1712000700
39,udachny,66.4167,112.4,259.59,94,99,5.74,RU,1712000509
40,horta,38.5333,-28.6333,289.27,78,40,11.83,PT,1712000700
41,al khaburah,23.9886,57.0984,299.46,48,78,0.64,OM,1712000700
42,iqaluit,63.7506,-68.5145,274.0,86,100,9.26,CA,1712000700
43,inhambane,-23.865,35.3833,297.14,94,75,1.54,MZ,1712000701
44,galvez,-32.0293,-61.221,296.18,54,67,6.58,AR,1712000701
45,hamilton,39.1834,-84.5333,296.88,68,20,3.6,US,1712000465
46,ribeira grande,38.5167,-28.7,289.69,77,40,11.83,PT,1712000701
47,kalemie,-5.9475,29.1947,295.15,89,100,1.61,CD,1712000701
48,island harbour,50.724,-1.2758,283.83,84,51,2.68,GB,1712000702
49,ingeniero guillermo n. juarez,-23.9,-61.85,307.13,43,100,2.43,AR,1712000702
50,bati,11.1833,40.0167,291.72,89,92,3.06,ET,1712000702
51,kingscliff,-28.2667,153.5667,294.11,90,100,3.09,AU,1712000702
52,broome,42.2506,-75.833,285.48,74,100,3.09,US,1712000703
53,sicuani,-14.2694,-71.2261,288.7,59,99,3.22,PE,1712000703
54,coquimbo,-29.9533,-71.3436,294.0,60,0,5.66,CL,1712000282
55,horsham,51.064,-0.3272,283.72,77,20,2.06,GB,1712000703
56,kodiak,57.79,-152.4072,272.88,69,0,6.69,US,1712000704
57,sao joao da barra,-21.6403,-41.0511,302.2,80,41,4.98,BR,1712000482
58,buka,40.8108,69.1986,285.32,53,100,2.75,UZ,1712000704
59,acajutla,13.5928,-89.8275,303.82,61,16,4.95,SV,1712000705
60,enewetak,11.3474,162.3373,300.11,71,78,7.64,MH,1712000476
61,mossel bay,-34.1831,22.146,291.11,72,12,3.45,ZA,1712000705
62,invercargill,-46.4,168.35,281.49,95,13,1.34,NZ,1712000705
63,ta`u,-14.2336,-169.5144,301.93,79,99,10.2,AS,1712000705
64,naze,28.3667,129.4833,291.66,76,80,6.15,JP,1712000511
65,east london,-33.0153,27.9116,294.57,93,98,3.28,ZA,1712000706
66,soe,-9.8607,124.284,292.77,94,100,0.55,ID,1712000706
67,jamestown,42.097,-79.2353,287.6,57,0,4.12,US,1712000706
68,iskateley,67.6803,53.1512,263.72,87,100,4.92,RU,1712000707
69,blackmans bay,-43.0167,147.3167,288.22,95,100,1.15,AU,1712000707
70,hawaiian paradise park,19.5933,-154.9731,298.65,79,20,1.54,US,1712000411
71,kawambwa,-9.7915,29.0791,290.96,91,100,0.18,ZM,1712000707
72,ilulissat,69.2167,-51.1,271.16,74,75,0.0,GL,1712000692
73,keflavik,64.0049,-22.5624,270.1,63,20,13.89,IS,1712000708
